Character,FighterKind,AssistMove,EnterFunction,SharedEnterWith,Notes,AerialAssistMove
Mr. Game & Watch,Ft_Kind_GameWatch,Neutral Special (Chef),ftGw_SpecialN_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Ice Climbers,Ft_Kind_Popo,Down Special (Blizzard),ftPp_SpecialLw_Enter,,Popo is the assist-controlled slot; Nana follows automatically and has no separate entry,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Luigi,Ft_Kind_Luigi,Down Special (Luigi Cyclone),ftLg_SpecialLw_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Marth,Ft_Kind_Mars,Neutral Special (Shield Breaker),ftMs_SpecialN_Enter,Roy,No fp->kind branch anywhere in ftmarsspecialn.c -- identical for both,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Roy,Ft_Kind_Emblem,Neutral Special (Shield Breaker),ftMs_SpecialN_Enter,Marth,No fp->kind branch anywhere in ftmarsspecialn.c -- identical for both,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Yoshi,Ft_Kind_Yoshi,Up Special (Egg Throw),ftYs_SpecialHi_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Mewtwo,Ft_Kind_Mewtwo,Side Special (Confusion),ftMt_SpecialS_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Peach,Ft_Kind_Peach,Down Smash,TagAssist_Common_AttackLw4_Enter (mod-owned; mirrors ftCo_AttackLw4.c's doEnter),,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Samus,Ft_Kind_Samus,Side Special (Missile),ftSs_SpecialS_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Pikachu,Ft_Kind_Pikachu,Down Special (Thunder),ftPk_SpecialLw_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Pichu,Ft_Kind_Pichu,Neutral Special (Thunder Jolt),ftPk_SpecialN_Enter,,No longer shares an Enter function with Pikachu now that Pikachu is on Down Special,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Jigglypuff,Ft_Kind_Purin,Side Special (Pound),ftPr_SpecialS_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Kirby,Ft_Kind_Kirby,Side Special (Hammer Flip),ftKb_SpecialS_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Link,Ft_Kind_Link,Up Special (Spin Attack),ftLk_SpecialHi_Enter,,,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Young Link,Ft_Kind_CLink,Side Special (Boomerang),ftLk_SpecialS_Enter,,No fp->kind branch anywhere in ftlinkspecials.c -- identical for both; no longer shares a move with Link now that Link is on Up Special,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
Ness,Ft_Kind_Ness,Side Special (PK Fire),ftNs_SpecialS_Enter,,Corrected from an earlier (wrong) "Neutral Special (PK Fire)" label -- this codebase's own naming has SpecialN = PK Flash and SpecialS = PK Fire for Ness,Same as grounded (v1 -- TagAssist_GetAssistMoveEnterAerial forwards to the grounded lookup)
